time,r_relay
-2.0,-30
-1.0,-8.957915831663328
0.0,-3.947895791583168
1.0,1.062124248496989
2.0,5.0701402805611195
3.0,9.078156312625246
4.0,12.084168336673343
5.0,15.09018036072144
6.0,18.096192384769537
7.0,21.102204408817627
8.0,24.108216432865724
9.0,26.11222444889779
10.0,29.11823647294589
11.0,31.122244488977948
12.0,34.128256513026045
13.0,36.132264529058105
14.0,39.13827655310621
15.0,41.14228456913827
16.0,43.14629258517033
17.0,46.15230460921843
18.0,48.15631262525049
19.0,51.16232464929858
20.0,53.16633266533066
21.0,56.17234468937875
22.0,59.17835671342685
23.0,61.18236472945891
24.0,64.188376753507
25.0,66.19238476953907
26.0,69.19839679358716
27.0,72.20440881763525
28.0,75.21042084168336
29.0,77.21442885771542
30.0,80.22044088176351
31.0,83.22645290581161
32.0,86.2324649298597
33.0,89.2384769539078
34.0,92.2444889779559
35.0,95.250501002004
36.0,97.25450901803606
37.0,101.26252505010018
38.0,103.26653306613224
39.0,106.27254509018036
40.0,109.27855711422845
41.0,111.28256513026051
42.0,114.2885771543086
43.0,116.29258517034066
44.0,119.29859719438875
45.0,122.30460921843687
46.0,124.30861723446893
47.0,127.31462925851702
48.0,129.31863727454908
49.0,132.32464929859717
50.0,135.33066132264528
51.0,138.33667334669337
52.0,141.34268537074146
53.0,144.34869739478955
54.0,147.35470941883764
55.0,150.36072144288576
56.0,153.36673346693385
57.0,157.37474949899797
58.0,159.37875751503003
59.0,163.38677354709418
60.0,166.39278557114227
61.0,169.39879759519036
62.0,172.40480961923845
63.0,175.41082164328654
64.0,178.41683366733466
65.0,181.42284569138275
66.0,184.42885771543084
67.0,187.43486973947893
68.0,190.44088176352702
69.0,193.44689378757514
70.0,196.45290581162322
71.0,199.45891783567131
72.0,202.4649298597194
73.0,205.47094188376752
74.0,207.47494989979958
75.0,210.48096192384767
76.0,213.48697394789576
77.0,216.49298597194385
78.0,219.49899799599197
79.0,222.50501002004006
80.0,225.51102204408815
81.0,228.51703406813624
82.0,232.52505010020036
83.0,234.52905811623242
84.0,238.53707414829654
85.0,241.54308617234466
86.0,245.55110220440878
87.0,247.55511022044084
88.0,251.56312625250496
89.0,254.56913827655308
90.0,258.5771543086172
91.0,260.58116232464926
92.0,264.5891783567134
93.0,267.5951903807615
94.0,270.6012024048096
95.0,273.6072144288577
96.0,276.6132264529058
97.0,280.6212424849699
98.0,283.62725450901803
99.0,286.6332665330661
100.0,289.6392785571142
101.0,292.64529058116227
102.0,295.6513026052104
103.0,297.65531062124245
104.0,300.66132264529057
105.0,303.66733466933863
106.0,307.67535070140275
107.0,310.68136272545087
108.0,314.689378757515
109.0,317.6953907815631
110.0,320.70140280561117
111.0,323.7074148296593
112.0,327.7154308617234
113.0,330.7214428857715
114.0,333.7274549098196
115.0,337.7354709418837
116.0,340.7414829659318
117.0,343.74749498997994
118.0,346.753507014028
119.0,350.7615230460921
120.0,353.76753507014024
121.0,356.77354709418836
122.0,359.7795591182364
123.0,363.78757515030054
124.0,365.7915831663326
125.0,369.7995991983968
126.0,372.80561122244484
127.0,375.81162324649296
128.0,378.817635270541
129.0,381.82364729458914
130.0,383.8276553106212
131.0,386.8336673346693
132.0,390.84168336673343
133.0,393.8476953907815
134.0,396.8537074148296
135.0,400.86172344689373
136.0,403.86773547094185
137.0,407.875751503006
138.0,410.88176352705403
139.0,413.88777555110215
140.0,416.89378757515027
141.0,420.9018036072144
142.0,423.90781563126245
143.0,427.9158316633266
144.0,430.9218436873747
145.0,433.9278557114228
146.0,436.93386773547087
147.0,439.939879759519
148.0,442.9458917835671
149.0,445.95190380761517
150.0,449.9599198396793
151.0,451.96392785571135
152.0,454.96993987975947
153.0,456.9739478957915
154.0,458.9779559118236
155.0,459.97995991983964
156.0,460.98196392785565
157.0,460.98196392785565
158.0,461.9839679358717
159.0,461.9839679358717
160.0,461.9839679358717
161.0,461.9839679358717
162.0,461.9839679358717
163.0,461.9839679358717
