real_time,rel_r
0.0,0.0
5.0,10.617350953274725
10.0,24.307503310088048
15.0,33.49672684912867
20.0,44.722688889963536
25.0,53.2694357515261
30.0,62.45043959989931
35.0,72.53967891997179
40.0,82.78778090835709
45.0,91.41169334222676
50.0,100.59067354393616
55.0,110.17552782003011
60.0,118.76694953701902
65.0,127.1289629002807
70.0,135.82162504712034
75.0,144.14546113003954
80.0,151.7384663283658
85.0,158.40821613745385
90.0,165.64039885646667
95.0,172.40357424807448
100.0,179.29573545901684
105.0,186.23485220716353
110.0,192.36081783119434
115.0,198.9698757100237
120.0,204.89151372045882
125.0,211.08140553303974
130.0,217.76365744850887
135.0,224.32733313457229
140.0,231.6056594082348
145.0,238.55864590669415
150.0,245.60281648858773
155.0,252.13743444071596
160.0,259.1239501012146
165.0,266.56952444402884
170.0,273.7252586729172
175.0,281.01088833783683
180.0,287.9157627562002
185.0,295.55305757087535
190.0,302.55178490216036
195.0,309.8124052660551
200.0,316.84629479339833
205.0,323.90555503354415
210.0,330.8618033737927
215.0,337.4653257949143
220.0,343.6664269769599
225.0,350.14278559098204
230.0,356.37863623425415
235.0,361.68011699119893
240.0,366.6684162848133
245.0,371.1759563430215
