,wid,alpha,m
0,33-2,1.3920816310622597,87.9803693476002
1,34-6,2.3111324510484113,4.258683859271055
2,35-3,2.193834695369936,1.5652823223978785
3,36-3,2.2044455422057707,4.207278886019773
4,37-2,1.1101383838874375,356.5569150920457
5,38-2,2.764949646012537,0.14472563912291708
6,38-33,1.9358442948976844,26.28086526366094
7,39-1,1.530039072862832,63.667202695953165
8,39-48,2.13204373506984,3.2374471559273577
9,40-2,1.55241480119337,18.082563135786675
10,40-3,4.5885848994325595,0.000268505183181833
11,41-14,3.7651619229103583,0.002954284748851313
12,41-39,2.215269727967798,3.3808441999239367
13,45-7,1.2764854185625116,155.79204817232548
14,46-70,2.638896384591106,2.811321134662943
15,46-71,3.439692182108203,0.007638589986001705
16,47-1,1.2665177086007366,135.14830663427222
17,47-2,1.5370898398789614,146.63056677007071
18,47-61,2.542914271017112,1.6064027831782732
19,48-2,2.222926931243261,1.2438461414437683
20,48-57,2.192660434531738,1.2464089867796209
21,49-19,2.6802465332569283,0.45758834783820196
22,50-16,2.4379105656017854,0.9547318469517391
23,51-4,3.2478963756466537,0.019601739996164533
24,51-69,1.1892847836223583,117.31807166818915
25,54-10,3.3189674519054146,0.012040671405171682
26,54-13,2.655738533743712,0.5967804396576094
27,56-3,2.8199977976033104,0.26826731394787573
28,57-12,2.0433879068327636,13.282848152719293
29,57-6,1.83748488776815,22.09030605900139
30,57-7,1.3722364323647052,90.78022276794285
31,58-12,2.671094440472168,0.37956466583207993
32,58-2,1.326440597008783,70.52964504046469
33,58-6,2.554306328691723,0.6946124187130078
34,59-3,1.9146673500225044,5.281209625690798
35,60-10,1.7460944801788114,39.5471121398141
36,60-2,1.2277768415910286,130.1337782588143
37,61-5,1.2113427393058194,228.6625114742541
38,61-6,1.8069500249962878,26.050476581293637
39,62-3,1.6807427238011532,12.106133146271695
40,62-6,2.4802616552769634,1.180140976065049
41,63-11,1.1684341138846035,424.62703794573537
42,64-11,3.3596274376426654,0.021247518156059037
43,66-74,2.1799159981705767,6.28362281526975
44,67-10,1.6959360559547176,33.28264913394834
45,68-2,2.2421770657972955,3.2042535577659135
46,68-64,2.452287507391606,3.0604635748098823
47,69-4,2.116032110245775,2.1167498606781843
48,69-60,1.3548034271692875,133.7823281122052
49,70-1,2.9828946368424183,0.02667209544561764
50,70-8,3.0597687869497476,0.4281037631627843
51,70-99,2.6136962736521854,0.928052379286419
52,71-7,1.4760387044796888,16.39868181948996
53,72-3,1.77781307501416,26.777862119936227
54,73-37,2.4754708497607414,0.806613813663297
55,74-19,1.7182084484832654,38.11325360047718
56,76-3,1.3593142937927751,45.68031958662936
57,76-7,1.7019395088714508,49.92675783722987
58,78-8,2.7244172178206982,0.3493795260842348
59,79-12,2.137048912970886,4.178324470364744
60,81-1,1.9986059681922281,8.52790937608178
61,81-2,2.160303316117911,9.068274970478328
62,81-6,3.3804376783702716,0.024265386776530475
63,81-76,2.337740795188166,1.578672021680623
64,82-2,1.2069930057188123,182.6793994038411
65,82-3,2.2977905125214444,3.923797328810006
66,82-7,1.7953351107051914,23.871291301768334
67,83-3,2.206722413586465,3.3125488455215044
68,83-60,1.7409019366387763,17.412500605033802
69,84-11,2.487385482723543,0.6755736402719114
70,86-35,2.64586601023609,0.12771717287838227
71,87-23,2.0332006375331915,9.713516170572824
72,87-29,2.3757304419395706,2.8087249819775297
73,88-5,1.8853305800018212,16.511337901043365
74,88-60,2.5223317857910073,1.9179537370244804
